country,year,Population,Population_density,Net_migration,Migration_percentage,iso3c,iso2c,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude
Africa Western and Central,2010,356337762.0,39.3927071,-264237.0,-0.000741535217926187,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2009,346475221.0,38.30241516,-220606.0,-0.00063671508560781,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2008,336893835.0,37.24320457,-247671.0,-0.000735160380717563,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2007,327612838.0,36.21720161,-225365.0,-0.000687900392963233,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2006,318601484.0,35.22100736,-223100.0,-0.000700247836887037,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2005,309824829.0,34.25075881,-137920.0,-0.000445154768406246,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2004,301265247.0,33.30450741,-41511.0,-0.000137788876790026,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2003,292977949.0,32.38835667,-99836.0,-0.000340762846967708,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2002,284952322.0,31.50113335,-39042.0,-0.000137012394655973,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Africa Western and Central,2001,277160097.0,30.63971233,-38737.0,-0.000139763986299947,AFW,ZI,Aggregates,,Aggregates,Aggregates,,,
Arab World,2021,456520777.0,34.84742727,-458710.0,-0.00100479545096367,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2020,449228296.0,34.29079926,-1585167.0,-0.0035286445981132,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2019,441467739.0,33.69842802,139844.0,0.000316770598723183,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2018,432545676.0,33.01742311,511128.0,0.00118167404822236,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2017,423664839.0,32.33951901,13305.0,3.14045414564129E-05,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2016,415077960.0,31.684061,3140.0,7.56484396328824E-06,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2015,406501999.0,31.02943629,-194516.0,-0.000478511792017042,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2014,397922915.0,30.37458933,-184490.0,-0.000463632510331806,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2013,389131555.0,29.70324997,340149.0,0.000874123405386643,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2012,380383408.0,29.03505953,-66311.0,-0.000174326741401927,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2011,372351065.0,27.36099428,-864858.0,-0.00232269511569679,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2010,364427661.0,26.77877881,39096.0,0.000107280550254389,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2009,355754908.0,26.14147446,1117576.0,0.00314142117190411,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2008,346630443.0,25.4662963,1470703.0,0.00424285584171843,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2007,337498222.0,24.79538717,1631375.0,0.00483372916850507,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2006,328703057.0,24.1492577,1327595.0,0.00403888850963743,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2005,320558754.0,23.55101335,820217.0,0.00255871034487487,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2004,313249616.0,23.01403788,10402.0,3.32067446173661E-05,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2003,306573087.0,22.52350552,-247339.0,-0.000806786409140995,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2002,300018650.0,22.04166851,-87387.0,-0.000291271892597343,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Arab World,2001,293512340.0,21.56366513,-182158.0,-0.000620614451848941,ARB,1A,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2021,7481877.0,18.48061504,-7303.0,-0.000976091961950189,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2020,7444768.0,18.38895393,2389.0,0.000320896500737162,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2019,7424102.0,18.33790787,-53765.0,-0.00724195330290451,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2018,7374650.0,18.21575892,54518.0,0.00739262202274006,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2017,7303634.0,18.04034581,-15824.0,-0.00216659268523039,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2016,7265272.0,17.94558972,-17915.0,-0.00246584023282266,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2015,7224602.0,17.84513277,-19122.0,-0.00264678940099399,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2014,7181044.0,17.7375423,-17545.0,-0.00244323805842158,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2013,7135884.0,17.62599481,-19814.0,-0.00277667069700124,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2012,7088996.0,17.51017908,-19619.0,-0.00276752871633726,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2011,7044357.0,17.39991849,-28184.0,-0.00400093294533482,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2010,7004428.0,17.30129184,-30222.0,-0.00431469921598166,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2009,6964240.0,17.20202544,-31939.0,-0.00458614292442535,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2008,6923924.0,17.10244288,-33690.0,-0.0048657379832592,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2007,6884705.0,17.00556996,-34155.0,-0.00496099687640937,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2006,6844183.0,16.90547857,-34649.0,-0.00506254727554771,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2005,6802474.0,16.80245523,-35732.0,-0.00525279479201243,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2004,6760372.0,16.69846116,-35485.0,-0.00524897150630172,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2003,6716747.0,16.5907052,-33189.0,-0.00494123122398387,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2002,6671842.0,16.47978758,-34708.0,-0.00520216156197943,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Caribbean small states,2001,6626803.0,16.36853897,-36347.0,-0.00548484691637883,CSS,S3,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2021,101413176.0,91.78051455,-20678.0,-0.000203898554562574,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2020,102180124.0,92.47028789,-29918.0,-0.000292796669536239,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2019,102398537.0,92.66895471,-19843.0,-0.000193782065460564,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2018,102538451.0,92.78931855,-61261.0,-0.000597444172430496,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2017,102740078.0,92.96902425,-76183.0,-0.000741511993012113,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2016,102994278.0,93.13795402,-110911.0,-0.00107686564878876,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2015,103257886.0,93.37544026,-99535.0,-0.000963945746477901,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2014,103496179.0,93.59047006,-88917.0,-0.000859133166645698,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2013,103713726.0,93.84889342,-101267.0,-0.000976408850647213,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2012,103935318.0,94.14015704,-69859.0,-0.000672139185642362,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2011,104174038.0,94.3426815,-107546.0,-0.00103236854464641,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2010,104421447.0,94.57237703,-129981.0,-0.00124477302062286,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2009,104800475.0,94.91405607,-114334.0,-0.00109096833769121,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2008,105001883.0,95.18263316,-163098.0,-0.00155328643011097,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2007,105378748.0,95.52262775,-167129.0,-0.00158598392153985,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2006,105772481.0,95.86997537,-181600.0,-0.00171689269536941,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2005,106041911.0,96.11156771,-167658.0,-0.00158105411736685,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2004,106331716.0,96.36113319,-140237.0,-0.00131886332014053,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2003,106624167.0,96.63579463,-142746.0,-0.00133877716484293,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2002,106959751.0,96.94538924,-164421.0,-0.00153722309993036,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Central Europe and the Baltics,2001,107660041.0,97.43263476,-162378.0,-0.0015082476143586,CEB,B8,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2021,3411268373.0,102.3638764,-1622432.0,-0.000475609603994062,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2020,3374383528.0,101.3027999,-2212227.0,-0.000655594416474403,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2019,3334561751.0,100.1074958,-3253155.0,-0.000975586971518645,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2018,3292896609.0,98.85432751,-3454072.0,-0.00104894638676461,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2017,3250752755.0,97.58918291,-3441642.0,-0.00105872155140263,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2016,3208369547.0,96.29846764,-3227808.0,-0.00100605867021091,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2015,3165214886.0,95.00244386,-2549801.0,-0.000805569634869965,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2014,3121656203.0,93.70861865,-2698481.0,-0.000864438882605548,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2013,3078407213.0,92.40637471,-4169595.0,-0.00135446505660198,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2012,3035159632.0,91.10793763,-3915894.0,-0.00129017728053388,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2011,2991403487.0,89.7941123,-3572706.0,-0.00119432434157619,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2010,2946285613.0,88.43967515,-2258697.0,-0.000766625268790599,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2009,2901329923.0,87.08991423,-3210018.0,-0.00110639537218876,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2008,2857587007.0,85.77823293,-4553615.0,-0.00159351753379525,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2007,2813790790.0,84.46286151,-2778517.0,-0.000987463961384279,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2006,2769421149.0,83.13155102,-2440877.0,-0.000881367213102047,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2005,2725013738.0,81.79899723,-3118727.0,-0.00114448120261183,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2004,2680567394.0,80.46468999,-2606431.0,-0.000972343021792348,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2003,2635731526.0,79.42101863,-2773416.0,-0.00105223767012756,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2002,2591204247.0,78.07879965,-3856742.0,-0.00148839752962939,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
Early-demographic dividend,2001,2545843129.0,76.71196735,-1659447.0,-0.00065182610079036,EAR,V2,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2021,2370189840.0,96.80386956,9227.0,3.89293711595692E-06,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2020,2363934334.0,96.60771087,180870.0,7.65122776037314E-05,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2019,2353856866.0,96.19673959,232677.0,9.88492560277877E-05,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2018,2341383691.0,95.68732189,205151.0,8.76195562429925E-05,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2017,2327132966.0,95.10488534,414719.0,0.000178210272493729,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2016,2310721864.0,94.43404592,539479.0,0.000233467735085229,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2015,2294507020.0,93.80767555,522034.0,0.000227514666745277,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2014,2278232287.0,93.14241874,325445.0,0.000142849788345572,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2013,2261274500.0,92.4505195,448601.0,0.000198384141332686,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2012,2243776727.0,91.73363157,526680.0,0.000234729237389046,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2011,2225992094.0,91.00710876,465510.0,0.000209124731958729,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2010,2210203758.0,90.36151648,19252.0,8.71050912401896E-06,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2009,2195169711.0,89.7485609,-72566.0,-3.30571252128578E-05,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2008,2179914111.0,89.12495362,-214278.0,-9.82965332986002E-05,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2007,2164155292.0,88.48104016,-200845.0,-9.28052625162538E-05,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2006,2148405823.0,87.83660207,-321151.0,-0.000149483396740914,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2005,2132517760.0,87.19814236,-521185.0,-0.000244398902450406,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2004,2116651449.0,86.55905775,-461359.0,-0.000217966448948392,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2003,2100610344.0,85.90187568,-552288.0,-0.000262917871264181,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2002,2083969920.0,85.24505098,-437152.0,-0.000209768862690686,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific,2001,2066530023.0,84.5299936,-467909.0,-0.000226422551229491,EAS,Z4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2021,2123628421.0,132.7137416,-323525.0,-0.000152345389994194,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2020,2116378687.0,132.3850799,-114687.0,-5.41902074068656E-05,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2019,2106391925.0,131.7621849,-470333.0,-0.000223288455684713,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2018,2094524854.0,131.0198827,-456693.0,-0.000218041337216808,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2017,2080919319.0,130.16861,-220848.0,-0.000106130015701968,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2016,2065173002.0,129.183107,-77693.0,-3.76205770290231E-05,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2015,2049757846.0,128.2164581,-234948.0,-0.000114622320123564,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2014,2034264880.0,127.2474573,-472530.0,-0.000232285384585708,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2013,2018068461.0,126.2372086,-338455.0,-0.000167712347990557,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2012,2001264155.0,125.1819801,-260017.0,-0.000129926376460782,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2011,1984267781.0,124.1190884,-268725.0,-0.000135427789824099,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2010,1969186913.0,123.1755986,-487107.0,-0.000247364532429228,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2009,1955042105.0,122.293262,-644780.0,-0.000329803638679178,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2008,1940768141.0,121.4000844,-801697.0,-0.000413082316771192,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2007,1926306467.0,120.4956952,-753861.0,-0.000391350500512024,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2006,1911721676.0,119.5819737,-822377.0,-0.000430176113146713,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2005,1896788261.0,118.6707415,-882390.0,-0.000465202162066733,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2004,1881561559.0,117.738033,-739093.0,-0.000392808301415771,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2003,1866240858.0,116.7766987,-852644.0,-0.000456877790637246,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2002,1850472928.0,115.8390957,-743578.0,-0.000401831331195783,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (excluding high income),2001,1834101877.0,114.8103858,-741424.0,-0.000404243629701056,EAP,4E,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2021,2097669023.0,132.0851995,-322002.0,-0.000153504674221429,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2020,2090523535.0,131.7600186,-113166.0,-5.41328514629709E-05,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2019,2080648616.0,131.1394378,-467301.0,-0.000224593906153349,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2018,2068898629.0,130.3988825,-453509.0,-0.000219203103353209,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2017,2055414680.0,129.5488147,-217660.0,-0.000105895906124403,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2016,2039794828.0,128.563807,-74506.0,-3.65262226265435E-05,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2015,2024511016.0,127.5981132,-231779.0,-0.000114486410875622,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2014,2009149689.0,126.6300561,-469522.0,-0.000233691895915277,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2013,1993077336.0,125.6199471,-335553.0,-0.000168359247250002,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2012,1976386829.0,124.5639044,-257131.0,-0.000130101555134376,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2011,1959494275.0,123.4994898,-265974.0,-0.000135736043423755,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2010,1944510719.0,122.554975,-484312.0,-0.00024906625366872,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2009,1930470829.0,121.6725436,-641987.0,-0.000332554623647203,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2008,1916309337.0,120.7796791,-798914.0,-0.000416902419966656,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2007,1901960228.0,119.875521,-751099.0,-0.000394907837157991,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2006,1887496209.0,118.9624856,-819674.0,-0.000434265243072602,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2005,1872697597.0,118.0527152,-879764.0,-0.000469784337529643,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2004,1857622964.0,117.1224095,-736557.0,-0.000396505111249259,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2003,1842469495.0,116.164336,-850135.0,-0.000461410624331666,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2002,1826844868.0,115.2283907,-741027.0,-0.000405632143692236,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
East Asia & Pacific (IDA & IBRD countries),2001,1810599718.0,114.1998312,-738769.0,-0.000408024475346792,TEA,T4,Aggregates,,Aggregates,Aggregates,,,
Euro area,2021,346942979.0,129.4490224,808829.0,0.00233130240113606,EMU,XC,Aggregates,,Aggregates,Aggregates,,,
Euro area,2020,346961127.0,129.4642131,778873.0,0.00224484225865452,EMU,XC,Aggregates,,Aggregates,Aggregates,,,
Euro area,2019,346517987.0,129.2988421,1090026.0,0.00314565488919338,EMU,XC,Aggregates,,Aggregates,Aggregates,,,
